City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
321,katsuura,20,JP,1554390248,61,33.93,134.5,48.2,6.93
322,kampot,40,KH,1554388200,88,10.62,104.18,80.6,2.24
323,ambon,88,FR,1554391288,70,47.55,-2.56,54,12.75
324,saint-raymond,75,CA,1554391222,53,46.89,-71.84,28,23.04
325,rosarito,40,CO,1554390000,100,4.91,-75.23,73.4,8.05
326,port moresby,40,PG,1554390000,100,-9.47,147.16,75.2,3.36
327,quatre cocos,75,MU,1554391143,83,-20.21,57.76,80.6,10.29
328,ahipara,92,NZ,1554391316,100,-35.17,173.16,60.91,4.97
329,fairbanks,1,US,1554391203,47,64.84,-147.72,14,8.05
330,sukhobezvodnoye,12,RU,1554391317,71,57.05,44.89,36.52,6.64
331,dingle,20,PH,1554391317,63,11,122.67,78.55,8.99
332,lata,0,IN,1554391317,100,30.78,78.62,49.57,1.39
333,deputatskiy,0,RU,1554391053,46,69.3,139.9,-3,2.73
334,benguela,20,AO,1554386400,74,-12.58,13.4,86,6.93
335,jega,0,NG,1554391318,14,12.22,4.38,108.25,10.22
336,boffa,36,GN,1554391318,53,10.18,-14.04,94.84,7.76
337,ko samui,20,TH,1554388200,74,9.54,99.94,84.2,9.17
338,nauta,20,PE,1554391319,77,-4.51,-73.58,85.3,3.85
339,sinop,75,TR,1554389400,70,42.03,35.15,48.2,14.99
340,castro,40,CL,1554386400,62,-42.48,-73.76,51.8,16.11
341,edd,24,ER,1554391321,45,13.93,41.69,90.52,5.64
342,durres,75,AL,1554389400,82,41.32,19.44,57.2,8.05
343,tuktoyaktuk,40,CA,1554387180,83,69.44,-133.03,-4.01,10.29
344,candolim,40,IN,1554386400,74,15.52,73.76,82.4,4.7
345,carmen,0,PH,1554391314,93,7.2,124.8,72.7,2.84
346,stromness,1,CA,1554391320,47,42.87,-79.55,39,4.7
347,flinders,92,AU,1554391205,100,-34.58,150.85,66.99,5.82
348,dunedin,92,NZ,1554390868,65,-45.87,170.5,51.01,4
349,beipiao,0,CN,1554391324,21,41.8,120.76,42.82,16.71
